ENCODERREADING,PICK_ENCODERREADING,ANGLE,TORQUE,Message
0.609,0,3995.6,1.496,WX11D690NLDU
0.726,0,4235.5,1.494,WX11D690NTTD
0.615,0,4083.3,1.493,WX11D690NZNU
0.724,0,4276.2,1.494,WX11D690N3CS
0.578,0,3958.7,1.491,WX11D690NL8J
0.66,0,4145.8,1.496,WX11D690NU7E
0.691,0,4203.6,1.496,WX11D690NX3C
0.568,0,3958.7,1.496,WX21D696Z1C9
0.61,0.001,4079.2,1.494,WX21D696Z63X
0.604,0,4034,1.493,WX11D690N08H
0.598,0,4009.7,1.495,WX11D690NFL7
0.563,0,3943.2,1.494,WX11D690NHHP
0.668,0,4195.2,1.493,WX11D690NNE3
0.603,0,4036.7,1.496,WX11D69LJ2Z7
0.559,0,3971.7,1.493,WX11D690N98K
0.625,0,4076.6,1.493,WX11D690N1RR
0.732,0,4303.8,1.493,WX11D690N5TP
0.61,0,4056.2,1.498,WX11D690N4K3
0.738,0,4228,1.492,WX11D690N39V
0.651,-0.001,4125,1.493,WX11D690N65C
0.569,-0.002,3954.9,1.494,WX11D690NZFU
0.636,-0.005,4088.2,1.496,WX11D690N9VC
0.695,0,4234.4,1.493,WX11D690N33C
0.617,0,4094.8,1.491,WX11D690NK8T
0.618,0,4046.1,1.495,WX11D690NST9
0.746,-0.001,4353.3,1.496,WX11D690NYYU
0.736,-0.004,4275.2,1.495,WX11D690NF85
0.599,0,4053,1.494,WX11D690NNY6
0.58,-0.001,3996.4,1.493,WX11D690ND30
0.712,-0.002,4231.5,1.494,WX11D690NNL2
0.566,-0.001,3980.4,1.492,WX11D690NH28
0.578,0,3962.5,1.495,WX11D690N517
0.645,0,4096.5,1.494,WX11D690NPFE
0.627,-0.002,4088.4,1.491,WX11D690NDLN
0.743,-0.006,4318.8,1.492,WX11D690N981
0.717,0,4244.6,1.496,WX11D690NF3V
0.641,0,4061.3,1.495,WX11D690NC3S
0.723,0,4250.8,1.49,WX11D690N7FL
0.672,-0.001,4125.9,1.493,WX11D690NVYV
0.671,-0.001,4174.7,1.498,WX11D690NE02
0.722,0,4274.8,1.493,WX21D696ZN2C
0.712,0,4233.3,1.494,WX11D690N46L
0.621,-0.001,4041.4,1.494,WX11D690NADX
0.615,-0.002,3994.8,1.493,WX11D690NE17
0.607,-0.005,4065,1.496,WX11D690NNUY
0.652,-0.005,4125.5,1.493,WX11D690N6EH
0.65,-0.002,4103.3,1.493,WX11D690N5NF
0.746,0,4291.2,1.498,WX21D696ZYHY
0.734,-0.001,4273.2,1.496,WX11D690N65N
0.644,-0.002,4071.1,1.494,WX11D690NR87
0.631,-0.001,4095.7,1.494,WX21D696Z48F
0.569,-0.002,3974.9,1.498,WX11D690N5CR
0.674,0,4155.6,1.498,WX11D690NL67
0.588,0,3992.5,1.493,WX11D690NNR9
0.592,-0.001,4016.1,1.493,WX11D690NHSU
0.584,0,3998.9,1.493,WX11D690N23R
0.707,0,4235.8,1.495,WX11D690NVHC
0.613,-0.001,4053,1.494,WX11D690N2Z5
1.304,-0.002,4256.9,1.491,WX11D690N6KA
0.644,-0.001,4053.3,1.491,WX11D690NXS8
0.646,-0.001,4125,1.495,WX11D690NVST
0.658,0,4157.6,1.496,WX11D690NUF4
0.705,-0.002,4252.2,1.493,WX11D690NS0K
0.743,-0.001,4244.2,1.498,WX11D690NVKY
0.628,-0.001,4030.7,1.498,WX11D690N8S4
0.615,-0.001,4025,1.494,WX11D690NAUX
0.577,-0.002,4041.3,1.495,WX11D690NFVU
0.697,0,4230.9,1.492,WX11D690N0HE
0.654,0,4130.3,1.493,WX11D690NP58
0.618,0,4053.6,1.495,WX11D690N295
0.735,0,4294,1.499,WX11D690NR71
0.596,0,4026.7,1.495,WX11D690NNZA
0.6,0,4012.3,1.493,WX11D690N3C8
0.563,0,3936,1.488,WX11D690NXPA
0.971,0,3952,1.498,WX11D690N06H
1.339,0,4306.6,1.493,WX11D690NSX1
0.738,0,4281.5,1.498,WX11D690NFRX
0.667,0,4179,1.493,WX11D690N2EE
0.622,-0.001,4072.4,1.494,WX11D690NL4R
0.575,-0.001,3983.4,1.493,WX11D690N1L7
0.679,0,4182.2,1.496,WX11D690NY1V
0.683,0,4158.6,1.495,WX11D690NA9P
0.674,0,4163.1,1.498,WX11D690NZ86
0.73,0,4263.5,1.496,WX11D690NDL2
0.664,-0.001,4170.3,1.498,WX11D690ND50
0.744,-0.003,4278.5,1.494,WX11D690NCKV
0.62,0,4062.7,1.495,WX11D690NT9R
